ECG,X,Y,Z,Timestamp
366,0.24,-9.30,-1.37,2024-01-20 15:13:10.251
331,0.20,-9.34,-1.37,2024-01-20 15:13:10.285
281,0.27,-9.38,-1.37,2024-01-20 15:13:10.351
304,0.24,-9.30,-1.33,2024-01-20 15:13:10.385
369,0.24,-9.38,-1.33,2024-01-20 15:13:10.418
358,0.24,-9.34,-1.41,2024-01-20 15:13:10.484
310,0.24,-9.34,-1.41,2024-01-20 15:13:10.518
294,0.16,-9.34,-1.37,2024-01-20 15:13:10.551
282,0.20,-9.34,-1.33,2024-01-20 15:13:10.616
327,0.24,-9.30,-1.37,2024-01-20 15:13:10.650
384,0.24,-9.34,-1.33,2024-01-20 15:13:10.684
336,0.20,-9.34,-1.41,2024-01-20 15:13:10.717
295,0.24,-9.30,-1.33,2024-01-20 15:13:10.783
276,0.16,-9.34,-1.33,2024-01-20 15:13:10.817
588,0.24,-9.38,-1.41,2024-01-20 15:13:10.850
369,0.24,-9.38,-1.41,2024-01-20 15:13:10.917
378,0.24,-9.30,-1.37,2024-01-20 15:13:10.949
333,0.31,-9.38,-1.33,2024-01-20 15:13:10.984
321,0.24,-9.30,-1.37,2024-01-20 15:13:11.050
304,0.24,-9.34,-1.37,2024-01-20 15:13:11.083
340,0.24,-9.34,-1.37,2024-01-20 15:13:11.116
401,0.20,-9.38,-1.37,2024-01-20 15:13:11.183
346,0.27,-9.34,-1.33,2024-01-20 15:13:11.216
326,0.20,-9.30,-1.37,2024-01-20 15:13:11.250
285,0.27,-9.34,-1.26,2024-01-20 15:13:11.315
371,0.16,-9.30,-1.26,2024-01-20 15:13:11.349
397,0.27,-9.34,-1.37,2024-01-20 15:13:11.383
417,0.08,-9.18,-1.57,2024-01-20 15:13:11.416
340,0.35,-9.34,-1.26,2024-01-20 15:13:11.482
304,0.16,-9.34,-1.33,2024-01-20 15:13:11.516
305,0.24,-9.34,-1.49,2024-01-20 15:13:11.550
372,0.35,-9.30,-1.41,2024-01-20 15:13:11.615
41,0.16,-9.30,-1.29,2024-01-20 15:13:11.648
306,0.27,-9.34,-1.22,2024-01-20 15:13:11.682
282,0.20,-9.34,-1.49,2024-01-20 15:13:11.749
252,0.16,-9.34,-1.41,2024-01-20 15:13:11.782
286,0.27,-9.34,-1.29,2024-01-20 15:13:11.815
338,0.16,-9.38,-1.41,2024-01-20 15:13:11.882
349,0.27,-9.38,-1.33,2024-01-20 15:13:11.915
290,0.24,-9.34,-1.33,2024-01-20 15:13:11.948
290,0.20,-9.34,-1.37,2024-01-20 15:13:11.982
302,0.27,-9.34,-1.37,2024-01-20 15:13:12.048
336,0.24,-9.34,-1.41,2024-01-20 15:13:12.081
380,0.20,-9.34,-1.33,2024-01-20 15:13:12.115
334,0.27,-9.34,-1.33,2024-01-20 15:13:12.180
300,0.24,-9.34,-1.29,2024-01-20 15:13:12.215
277,0.24,-9.34,-1.37,2024-01-20 15:13:12.248
295,0.24,-9.38,-1.41,2024-01-20 15:13:12.314
355,0.24,-9.38,-1.37,2024-01-20 15:13:12.347
661,0.27,-9.34,-1.37,2024-01-20 15:13:12.380
284,0.24,-9.38,-1.41,2024-01-20 15:13:12.447
299,0.24,-9.34,-1.41,2024-01-20 15:13:12.480
293,0.24,-9.38,-1.29,2024-01-20 15:13:12.514
372,0.24,-9.34,-1.37,2024-01-20 15:13:12.580
398,0.24,-9.38,-1.33,2024-01-20 15:13:12.614
332,0.24,-9.34,-1.37,2024-01-20 15:13:12.647
308,0.24,-9.34,-1.37,2024-01-20 15:13:12.681
301,0.24,-9.34,-1.33,2024-01-20 15:13:12.747
327,0.20,-9.30,-1.41,2024-01-20 15:13:12.780
378,0.24,-9.38,-1.33,2024-01-20 15:13:12.814
366,0.24,-9.26,-1.37,2024-01-20 15:13:12.880
308,0.24,-9.38,-1.37,2024-01-20 15:13:12.913
337,0.24,-9.34,-1.33,2024-01-20 15:13:12.946
311,0.20,-9.38,-1.37,2024-01-20 15:13:13.013
350,0.20,-9.30,-1.37,2024-01-20 15:13:13.047
375,0.20,-9.34,-1.37,2024-01-20 15:13:13.080
660,0.27,-9.30,-1.45,2024-01-20 15:13:13.146
154,0.24,-9.38,-1.37,2024-01-20 15:13:13.179
271,0.20,-9.34,-1.33,2024-01-20 15:13:13.214
328,0.24,-9.34,-1.41,2024-01-20 15:13:13.278
391,0.24,-9.34,-1.37,2024-01-20 15:13:13.312
354,0.27,-9.34,-1.33,2024-01-20 15:13:13.346
288,0.24,-9.30,-1.37,2024-01-20 15:13:13.379
301,0.24,-9.34,-1.33,2024-01-20 15:13:13.445
297,0.20,-9.38,-1.33,2024-01-20 15:13:13.479
371,0.27,-9.38,-1.41,2024-01-20 15:13:13.512
374,0.20,-9.30,-1.37,2024-01-20 15:13:13.578
318,0.27,-9.34,-1.37,2024-01-20 15:13:13.612
282,0.20,-9.34,-1.37,2024-01-20 15:13:13.645
338,0.16,-9.34,-1.37,2024-01-20 15:13:13.712
358,0.27,-9.38,-1.26,2024-01-20 15:13:13.745
431,0.12,-9.34,-1.37,2024-01-20 15:13:13.778
308,0.20,-9.34,-1.37,2024-01-20 15:13:13.845
98,0.31,-9.22,-1.49,2024-01-20 15:13:13.878
272,0.24,-9.30,-1.49,2024-01-20 15:13:13.912
271,0.27,-9.38,-1.29,2024-01-20 15:13:13.978
383,0.16,-9.38,-1.37,2024-01-20 15:13:14.011
442,0.27,-9.38,-1.49,2024-01-20 15:13:14.045
349,0.24,-9.34,-1.37,2024-01-20 15:13:14.077
343,0.20,-9.34,-1.37,2024-01-20 15:13:14.144
301,0.24,-9.34,-1.37,2024-01-20 15:13:14.177
404,0.16,-9.30,-1.45,2024-01-20 15:13:14.211
545,0.24,-9.34,-1.29,2024-01-20 15:13:14.278
394,0.20,-9.38,-1.29,2024-01-20 15:13:14.310
327,0.20,-9.41,-1.41,2024-01-20 15:13:14.344
231,0.35,-9.38,-1.53,2024-01-20 15:13:14.410
309,0.20,-9.30,-1.37,2024-01-20 15:13:14.444
411,0.16,-9.34,-1.29,2024-01-20 15:13:14.477
369,0.24,-9.34,-1.37,2024-01-20 15:13:14.544
314,0.24,-9.30,-1.41,2024-01-20 15:13:14.577
215,0.20,-9.38,-1.29,2024-01-20 15:13:14.611
662,0.20,-9.34,-1.33,2024-01-20 15:13:14.676
162,0.24,-9.30,-1.41,2024-01-20 15:13:14.710
273,0.20,-9.30,-1.37,2024-01-20 15:13:14.743
305,0.24,-9.38,-1.37,2024-01-20 15:13:14.777
316,0.27,-9.34,-1.37,2024-01-20 15:13:14.843
290,0.20,-9.34,-1.41,2024-01-20 15:13:14.876
287,0.24,-9.30,-1.37,2024-01-20 15:13:14.909
389,0.24,-9.38,-1.41,2024-01-20 15:13:14.976
327,0.24,-9.34,-1.41,2024-01-20 15:13:15.009
243,0.24,-9.34,-1.33,2024-01-20 15:13:15.043
244,0.20,-9.30,-1.41,2024-01-20 15:13:15.109
282,0.20,-9.34,-1.37,2024-01-20 15:13:15.142
330,0.20,-9.30,-1.33,2024-01-20 15:13:15.175
379,0.27,-9.38,-1.33,2024-01-20 15:13:15.242
328,0.27,-9.34,-1.37,2024-01-20 15:13:15.276
305,0.20,-9.30,-1.37,2024-01-20 15:13:15.309
321,0.24,-9.38,-1.37,2024-01-20 15:13:15.375
332,0.24,-9.38,-1.37,2024-01-20 15:13:15.408
414,0.24,-9.34,-1.33,2024-01-20 15:13:15.442
432,0.24,-9.34,-1.37,2024-01-20 15:13:15.475
288,0.24,-9.30,-1.33,2024-01-20 15:13:15.542
327,0.24,-9.38,-1.33,2024-01-20 15:13:15.575
610,0.20,-9.34,-1.29,2024-01-20 15:13:15.609
213,0.24,-9.34,-1.37,2024-01-20 15:13:15.674
432,0.27,-9.34,-1.41,2024-01-20 15:13:15.708
379,0.24,-9.34,-1.33,2024-01-20 15:13:15.741
275,0.20,-9.38,-1.41,2024-01-20 15:13:15.808
275,0.20,-9.38,-1.29,2024-01-20 15:13:15.841
303,0.24,-9.30,-1.37,2024-01-20 15:13:15.875
316,0.20,-9.30,-1.33,2024-01-20 15:13:15.941
297,0.27,-9.34,-1.33,2024-01-20 15:13:15.974
231,0.20,-9.34,-1.37,2024-01-20 15:13:16.007
242,0.20,-9.34,-1.37,2024-01-20 15:13:16.074
328,0.20,-9.30,-1.37,2024-01-20 15:13:16.108
282,0.27,-9.34,-1.41,2024-01-20 15:13:16.140
311,0.24,-9.34,-1.41,2024-01-20 15:13:16.174
265,0.24,-9.38,-1.37,2024-01-20 15:13:16.241
234,0.24,-9.34,-1.37,2024-01-20 15:13:16.274
323,0.24,-9.30,-1.29,2024-01-20 15:13:16.308
342,0.24,-9.34,-1.37,2024-01-20 15:13:16.373
408,0.20,-9.38,-1.37,2024-01-20 15:13:16.406
308,0.20,-9.38,-1.33,2024-01-20 15:13:16.440
246,0.24,-9.30,-1.41,2024-01-20 15:13:16.506
325,0.24,-9.30,-1.37,2024-01-20 15:13:16.539
344,0.24,-9.30,-1.37,2024-01-20 15:13:16.573
428,0.20,-9.38,-1.33,2024-01-20 15:13:16.640
403,0.24,-9.34,-1.33,2024-01-20 15:13:16.673
634,0.20,-9.30,-1.37,2024-01-20 15:13:16.707
349,0.24,-9.30,-1.33,2024-01-20 15:13:16.772
402,0.20,-9.30,-1.37,2024-01-20 15:13:16.806
418,0.24,-9.34,-1.37,2024-01-20 15:13:16.840
454,0.24,-9.34,-1.41,2024-01-20 15:13:16.873
371,0.27,-9.34,-1.29,2024-01-20 15:13:16.939
313,0.24,-9.34,-1.37,2024-01-20 15:13:16.973
368,0.24,-9.34,-1.37,2024-01-20 15:13:17.006
365,0.16,-9.34,-1.33,2024-01-20 15:13:17.072
